"","country","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1","Argentina",2,1,3,1,4,7,5,4,6,6,3,5,11,4,16,2,15,7,18
"2","Australia",1,1,3,1,2,4,5,4,6,6,3,5,11,10,16,15,16,8,18
"3","Austria",1,1,3,1,2,4,3,8,2,10,6,11,7,8,7,11,9,4,20
"4","Belgium",1,1,3,1,2,4,3,8,2,10,6,11,7,8,7,11,9,4,20
"5","Burkina Faso",2,2,2,4,1,5,1,7,4,11,10,2,12,1,15,7,5,17,16
"6","Bulgaria",1,3,1,2,6,1,6,6,8,1,12,9,4,9,5,16,11,19,7
"7","Brazil",1,1,3,1,4,7,5,4,6,6,3,5,11,4,8,2,15,7,9
"8","Canada",1,1,3,1,2,4,3,8,2,10,6,11,7,8,7,11,9,4,20
"9","China",1,1,4,1,4,7,2,3,7,2,7,12,2,3,6,6,7,13,19
"10","Cote d'Ivoire",2,2,2,4,1,5,1,7,4,11,10,2,12,1,15,7,5,17,16
"11","Cameroon",2,1,4,5,5,3,7,2,9,4,5,3,3,13,2,1,17,2,13
"12","Colombia",2,2,2,4,1,5,5,4,1,3,2,6,5,14,12,3,18,3,8
"13","Cyprus",1,1,4,5,5,3,7,9,5,7,9,7,8,12,10,17,8,12,5
"14","Germany",1,1,3,1,2,4,3,8,2,10,6,11,7,8,7,11,9,4,20
"15","Denmark",1,1,3,1,2,4,3,8,2,10,6,11,7,8,7,11,9,4,20
"16","Egypt",1,1,4,5,5,3,7,2,9,4,5,3,3,13,2,1,17,2,13
"17","Spain",1,3,1,3,3,6,4,1,3,5,4,8,14,5,1,9,1,9,17
"18","Estonia",1,3,1,3,3,6,4,1,3,5,8,10,13,6,3,10,4,14,1
"19","Ethiopia",2,2,2,4,1,2,8,5,10,8,1,4,1,2,14,8,12,1,11
"20","Finland",1,3,1,3,3,6,4,1,3,5,8,10,13,6,3,10,4,14,1
"21","France",1,3,1,3,3,6,4,1,3,5,8,10,13,6,3,10,4,14,1
"22","United Kingdom",1,3,1,3,3,6,4,1,3,5,8,10,13,6,3,10,4,14,1
"23","Ghana",2,2,2,4,1,2,8,5,10,8,1,4,1,2,14,8,12,1,11
"24","Greece",1,1,4,5,5,3,7,9,5,7,9,7,8,12,10,17,8,12,5
"25","Croatia",1,1,3,2,6,1,6,6,8,9,11,13,10,15,9,4,14,11,4
"26","Hungary",1,1,3,1,2,4,5,4,6,6,3,5,11,10,16,15,16,8,15
"27","Indonesia",2,3,1,3,3,2,8,5,10,8,1,4,1,2,8,13,6,5,10
"28","India",2,2,2,4,4,7,2,3,7,2,7,12,2,3,6,6,7,13,19
"29","Ireland",1,1,3,1,2,4,3,8,2,10,6,11,7,8,7,11,9,4,20
"30","Israel",1,1,4,5,5,3,7,9,5,7,9,1,6,7,4,12,10,16,12
"31","Italy",1,1,3,1,2,4,3,8,2,10,6,7,8,12,10,17,8,12,5
"32","Jordan",1,1,4,5,5,3,7,2,9,4,5,3,3,13,2,1,17,2,13
"33","Japan",1,1,3,1,2,4,3,8,2,10,6,7,8,12,10,17,8,12,5
"34","Kenya",2,2,2,4,1,5,1,7,4,11,10,2,12,1,15,7,5,17,16
"35","Lithuania",1,3,1,3,3,6,4,1,3,5,8,10,13,6,3,10,4,14,1
"36","Luxembourg",1,3,1,2,6,1,6,6,8,9,11,13,9,11,11,5,3,6,14
"37","Latvia",1,3,1,2,6,1,6,6,8,9,11,13,9,11,11,5,3,6,14
"38","Morocco",2,1,4,5,5,3,7,2,9,4,5,3,3,13,2,1,17,2,13
"39","Mexico",1,1,4,5,5,3,7,9,5,7,9,1,6,7,4,12,2,15,6
"40","Malta",1,1,4,5,5,3,7,9,5,7,9,1,6,7,4,12,2,15,6
"41","Mozambique",2,2,2,4,1,5,1,7,1,3,2,6,5,14,12,3,18,3,8
"42","Nigeria",2,2,2,4,1,2,8,5,10,8,1,4,1,2,14,8,12,1,11
"43","Netherlands",1,1,3,1,2,4,3,8,2,10,6,11,7,8,7,11,9,4,20
"44","Poland",1,1,3,1,2,4,5,4,6,6,3,5,11,10,16,15,16,8,15
